Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
381842,How Nonviolence Protects the State,Peter Gelderloos,"Gelderloos, Peter",,"=""0896087727""","=""9780896087729""",4,3.93,South End Press,Paperback,182,2007,2007,2012/07/08,2012/06/16,,,read,,,,1,,,0,,,,,
2594475,The Beyond Within: The LSD Story,Sidney Cohen,"Cohen, Sidney",,"=""0689100566""","=""9780689100567""",0,4.13,Encore Editions,Hardcover,339,1972,1972,,2012/06/16,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
429479,Pacifism as Pathology: Reflections on the Role of Armed Struggle in North America,Ward Churchill,"Churchill, Ward","Derrick Jensen, Mike Ryan","=""1904859186""","=""9781904859185""",0,3.90,AK Press,Paperback,228,2007,1998,,2012/06/16,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
888391,Conspiracy in the Streets: The Extraordinary Trial of the Chicago Eight,Jon Wiener,"Wiener, Jon",Jules Feiffer,"=""1565848330""","=""9781565848337""",0,4.25,The New Press,Paperback,283,2006,2006,,2012/06/16,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
53093,Comments on the Society of the Spectacle,Guy Debord,"Debord, Guy",Malcolm Imrie,"=""1859841694""","=""9781859841693""",0,4.13,Verso,Paperback,94,1998,1988,,2012/06/16,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
141565,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,"Levitin, Daniel J.",,"=""0525949690""","=""9780525949695""",0,3.87,Dutton Adult,Hardcover,314,2006,2006,,2012/06/16,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
4485966,Talent is Overrated: What Really Separates World-Class Performers from Everybody Else,Geoff Colvin,"Colvin, Geoff",,"=""1591842247""","=""9781591842248""",0,3.96,Portfolio,Hardcover,240,2008,2008,,2012/06/16,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
2776527,Traffic: Why We Drive the Way We Do (and What It Says About Us),Tom Vanderbilt,"Vanderbilt, Tom",,"=""0307264785""","=""9780307264787""",0,3.71,Knopf Publishing Group,Hardcover,402,2008,2008,,2012/06/16,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
98724,How to Make War,James F. Dunnigan,"Dunnigan, James F.",,"=""006009012X""","=""9780060090128""",4,3.89,Harper Paperback,Paperback,672,2003,1982,,2012/05/04,,,read,,,,1,,,0,,,,,
369881,The Hacker Ethic: A Radical Approach to the Philosophy of Business,Pekka Himanen,"Himanen, Pekka",Linus Torvalds,"=""037575878X""","=""9780375758782""",3,3.72,Random House Trade Paperbacks,Paperback,256,2002,2001,,2012/05/04,,,read,,,,1,,,0,,,,,
29589,Eastern Standard Tribe,Cory Doctorow,"Doctorow, Cory",,"=""0765310457""","=""9780765310453""",5,3.49,Tor Books,Paperback,223,2005,2004,,2012/05/04,,,read,,,,1,,,0,,,,,
29588,"Someone Comes to Town, Someone Leaves Town",Cory Doctorow,"Doctorow, Cory",,"=""0765312808""","=""9780765312808""",5,3.51,Tor Books,Paperback,315,2006,2005,,2012/05/04,,,read,,,,1,,,0,,,,,
543103,"Generation Kill: Devil Dogs, Iceman, Captain America, and the New Face of American War",Evan Wright,"Wright, Evan",,"=""042520040X""","=""9780425200407""",5,4.26,Berkley Caliber,Paperback,384,2005,2004,,2012/05/04,,,read,,,,1,,,0,,,,,
2112788,Visualizing Data: Exploring and Explaining Data with the Processing Environment,Ben Fry,"Fry, Ben",,"=""0596514557""","=""9780596514556""",3,3.73,O'Reilly Media,Paperback,384,2007,2007,,2012/05/04,,,read,,,,1,,,0,,,,,
17745,Envisioning Information,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392118""","=""9780961392116""",4,4.22,Graphics Press,Unknown Binding,126,1992,1990,,2012/05/04,,,read,,,,1,,,0,,,,,
17743,Beautiful Evidence,Edward R. Tufte,"Tufte, Edward R.",,"=""0961392177""","=""9780961392178""",4,4.14,Graphics Press LLC,Hardcover,213,2006,2006,,2012/05/04,,,read,,,,1,,,0,,,,,
3259355,Sound Reporting: The NPR Guide to Audio Journalism and Production,Jonathan Kern,"Kern, Jonathan",,"=""0226431789""","=""9780226431789""",5,4.20,University of Chicago Press,Paperback,380,2008,2008,,2012/05/04,,,read,,,,1,,,0,,,,,
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",4,3.75,Tor Books,Paperback,370,2002,1996,,2012/05/04,,,read,,,,1,,,0,,,,,
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",5,4.06,Tor Books,Paperback,382,1994,1986,,2012/05/04,,,read,,,,1,,,0,,,,,
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",Piotr W. Cholewa,"=""0312861877""","=""9780312861872""",5,3.79,Tor Books,Mass Market Paperback,592,1996,1991,,2012/05/04,,,read,,,,1,,,0,,,,,
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0765342405""","=""9780765342409""",4,4.31,Starscape,Paperback,469,2002,1999,,2012/05/04,,,read,,,,1,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.30,TOR,Mass Market Paperback,324,1994,1985,,2012/05/04,,,read,,,,1,,,0,,,,,
